inn;year;okved1;region;title;of;ta_fix;ta_nonfix;ta;tp_cap;debt_long;tp_long;debt_short;tp_short;tp;sales;profit_operational;exp_interest;profit_before_tax;cash_oper_inflow;cash_oper_inflow_sales;paid_to_supplier;paid_to_worker;cash_interest;cash_investment_of;sales_prev;of_prev
2457009983;2013;65;24;"Российское акционерное общество по производству цветных и драгоценных металлов ""Норильский никель""";0.0;3164.7;3005.8;6170.5;6169.3;0.0;0.0;0.0;1.1;6170.5;2245.4;113.8;0.0;129.3;2249.7;0.0;8.1;20.4;0.0;0.0;2951.5;0.1
2309001660;2013;40;23;Открытое акционерное общество энергетики и электрификации Кубани;40745.8;42147.8;20524.3;62672.1;31388.4;17237.0;17958.8;400.0;13324.9;62672.1;33903.8;1702.3;1535.4;-2267.9;28960.5;28439.7;20775.7;3747.0;1535.4;11364.6;28118.5;31207.4
2446000322;2013;40;24;Красноярская ГЭС;17010.0;19195.6;11855.5;31051.1;29859.1;0.0;338.5;0.0;853.5;31051.1;15560.0;3834.3;15.7;3980.2;17971.4;4841.5;358.4;333.9;17.6;1261.7;12533.8;16378.9
2420002597;2013;40;24;Богучанская ГЭС;73924.3;74139.4;2212.8;76352.2;4993.0;69733.4;69740.5;21.6;1618.7;76352.2;4286.8;284.8;0.0;-396.8;5314.5;3675.3;1349.1;831.6;0.0;3483.2;1412.9;67449.5
2221000387;2013;31;22;Алтайский трансформаторный завод;199.5;245.6;879.6;1125.2;1045.7;0.0;7.8;0.0;71.8;1125.2;1189.3;115.7;0.0;149.2;1197.4;1123.0;757.5;196.1;0.0;38.0;1309.7;196.7
2312026417;2013;40;23;ЭНЕКС;183.2;469.8;5932.3;6402.1;1709.5;0.0;1316.1;1493.9;3376.6;6402.1;5773.2;193.0;100.7;26.2;5686.9;5669.2;4592.5;1379.8;100.7;58.7;6228.6;166.0
2460002730;2013;45;24;КРАСНОЯРСКЭЛЕКТРОСЕТЬСТРОЙ;236.6;236.6;1360.0;1596.5;160.1;0.0;0.0;244.0;1436.4;1596.5;2080.2;52.0;36.8;9.4;2005.9;1919.0;1462.0;277.1;36.9;19.0;348.2;268.8
2308119595;2013;51;23;Кубанская энергосбытовая компания;761.2;1035.3;9659.9;10695.2;1527.4;0.0;103.8;2886.0;9064.0;10695.2;37858.8;486.2;266.6;172.4;33215.9;32992.1;31725.2;613.9;272.4;141.5;34180.6;771.1
3414504304;2013;23;34;ЛУКОЙЛ-Коробковский газоперерабатывающий завод;1734.4;1756.7;2312.4;4069.0;3486.4;0.0;83.8;0.0;498.8;4069.0;3484.5;509.0;0.0;468.2;3483.3;2908.2;2427.1;118.9;0.0;63.1;3860.5;1917.7
3444070534;2013;11;34;ЛУКОЙЛ-Нижневолжскнефть;95146.2;158935.2;14744.9;173680.1;13169.4;143697.7;154332.2;2875.6;6178.5;173680.1;34279.2;14848.8;5306.4;9519.9;33823.5;32569.2;6677.6;607.1;4770.8;42793.4;19555.6;58308.7
2315072242;2013;60;23;Черноморские магистральные нефтепроводы;85841.9;88759.7;5695.5;94455.2;85716.3;749.6;2514.6;122.9;6224.4;94455.2;23463.7;4639.5;0.0;4569.4;29677.2;27367.6;7264.9;4524.5;0.0;13053.3;37822.1;74029.1
2310004087;2013;73;23;Научно-исследовательский и проектный институт по переработке газа;50.3;208.2;3939.4;4147.6;2666.5;0.0;98.9;0.0;1382.3;4147.6;3512.0;985.7;0.0;1092.4;3114.9;2539.3;1067.4;839.9;0.0;6.8;3140.4;138.2
3448017919;2013;23;34;ЛУКОЙЛ-Волгограднефтепереработка;38946.9;51195.4;81115.3;132310.7;105488.4;0.0;2852.9;0.0;23969.5;132310.7;244620.2;36786.0;0.0;39080.6;194147.8;190312.5;164192.0;1291.3;0.0;16723.6;248686.3;34207.2
3663002167;2013;24;36;Воронежский синтетический каучук;9031.0;9753.2;1847.4;11600.6;3573.8;0.0;394.0;6510.8;7632.8;11600.6;7882.1;335.5;483.7;418.7;8605.4;7924.7;5325.5;1097.8;422.9;1571.6;7877.3;7793.0
3435001301;2013;26;34;Волжский завод асбестовых технических изделий;285.8;1428.8;1016.4;2445.2;221.2;580.7;654.8;1117.1;1569.2;2445.2;1518.3;214.8;187.2;19.3;1255.1;1238.5;915.0;212.6;159.5;62.7;1390.0;264.1
5260312089;2013;74;52;ЛУКОЙЛ-Нижегородский научно-исследовательский и проектный институт по переработке нефти;176.2;234.7;1384.4;1619.1;1111.8;0.0;11.2;0.0;496.1;1619.1;2717.4;264.5;0.0;266.0;2746.3;2714.1;1343.2;820.6;0.0;26.3;2543.8;177.6
2424006560;2013;15;24;Камарчагский комбикормовый завод;4.3;4.7;763.1;767.8;31.5;0.0;0.0;31.5;736.3;767.8;2399.2;10.8;2.3;3.5;0.0;0.0;0.0;0.0;0.0;0.0;2556.8;5.7
5260000210;2013;45;52;Волгогаз;397.0;1217.7;5839.9;7057.6;-279.0;0.0;353.6;0.0;6983.0;7057.6;7346.0;-601.0;0.0;-1176.7;7656.7;7622.2;5745.5;947.9;0.0;12.9;8673.5;361.6
2308065678;2013;11;23;Газпром добыча Краснодар;11500.5;15320.4;9555.8;24876.3;6989.4;5203.4;13468.9;68.3;4418.0;24876.3;16104.2;1321.6;306.0;677.1;16522.5;16182.1;15711.4;1093.2;306.0;497.6;8600.8;9349.8
2457002628;2013;11;24;Норильскгазпром;4050.8;4676.1;2873.3;7549.3;5007.4;1451.1;1622.5;0.0;919.5;7549.3;5817.2;802.9;97.3;572.3;6146.9;5869.3;1852.5;1836.1;0.0;957.1;4690.2;2955.0
3445042160;2013;60;34;Газпром трансгаз Волгоград;5221.0;5336.9;5891.2;11228.1;8335.9;0.0;192.1;0.0;2700.2;11228.1;20245.3;1246.6;0.0;878.8;21386.3;21064.4;15040.3;2122.0;0.0;550.0;20923.1;4137.1
