year,title,inn,ok1,ok2,ok3,region,of,of_lag,ta_fix,ta_fix_lag,ta_nonfix,ta_nonfix_lag,ta,ta_lag,tp_cap,tp_cap_lag,debt_long,debt_long_lag,tp_long,tp_long_lag,debt_short,debt_short_lag,tp_short,tp_short_lag,tp,tp_lag,sales,sales_lag,profit_operational,profit_operational_lag,exp_interest,exp_interest_lag,profit_before_tax,profit_before_tax_lag,cash_oper_inflow,cash_oper_inflow_sales,paid_to_supplier,paid_to_worker,cash_interest,cash_investment_of
2013,Сыр Стародубский,3227005513,15,51,4,32,510.6,456.5,529.1,480.7,930.9,818.8,1459.9,1299.5,741.2,665.9,208.4,160.7,208.4,160.7,272.0,255.0,510.3,472.9,1459.9,1299.5,3687.5,3371.5,160.6,130.7,47.1,22.1,115.2,112.0,3652.4,3587.8,3031.8,201.5,47.1,151.6
2013,Управляющая компания № 1 жилищно-коммунального хозяйства,6321215626,70,32,1,63,10.7,12.0,14.7,24.0,353.4,317.0,368.1,341.1,-77.7,-77.8,0.0,0.0,0.0,0.0,0.0,0.0,445.7,418.9,368.1,341.1,1240.5,1349.6,19.1,54.5,0.0,0.0,8.2,12.0,1744.4,1137.5,1149.4,23.9,0.0,0.0
2013,ОХОМЯКА,2901183480,51,3,0,29,0.0,0.4,0.0,0.4,296.2,308.4,296.2,308.8,48.0,48.0,0.0,0.0,0.0,0.0,186.9,206.6,248.2,260.8,296.2,308.8,1020.2,1038.5,6.1,9.3,16.7,8.6,1.0,4.9,1424.9,1424.6,1406.2,6.6,6.9,0.0
2013,ГТ Север,2902060812,45,21,0,29,83.4,61.0,83.4,61.0,184.4,236.1,267.8,297.1,117.7,76.9,0.0,0.0,0.0,0.0,0.0,30.7,150.1,220.2,267.8,297.1,1112.2,359.6,75.8,53.5,0.0,0.0,67.2,48.0,892.5,797.3,682.6,246.5,1.3,0.0
2013,"Торговый дом ""Хабаровский""",2721161978,51,39,2,27,24.6,21.0,24.9,21.4,99.6,92.7,124.5,114.1,7.2,3.5,0.0,0.0,0.0,0.0,45.0,59.0,117.3,110.6,124.5,114.1,1282.0,1143.0,3.7,17.8,3.4,1.5,4.6,5.6,1356.2,1316.1,1311.9,13.4,3.5,0.0
2013,СНС Хабаровск,2724124639,51,35,0,27,0.6,0.3,0.6,0.3,326.0,154.6,326.6,154.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,326.1,154.5,326.6,154.9,1577.5,1316.1,-7.2,-17.2,0.0,0.0,0.1,0.1,1756.8,1756.8,1740.5,5.7,0.0,0.0
2013,Департамент жилищно-коммунального хозяйства,6321215841,70,32,1,63,22.4,12.3,68.7,40.7,852.2,1173.4,920.8,1214.1,-382.6,-169.1,0.0,0.0,0.4,0.5,38.8,69.2,1303.1,1382.7,920.8,1214.1,2262.9,3334.3,-189.4,-143.0,4.0,4.6,-238.3,-113.9,3194.5,2077.4,2491.4,111.1,0.0,0.0
2013,Больверк,6381012469,45,2,0,63,321.5,237.6,321.5,237.6,972.2,104.9,1293.6,342.4,66.3,35.0,0.0,0.0,0.1,0.0,0.0,79.1,1227.2,307.5,1293.6,342.4,2432.6,799.5,88.7,51.4,19.4,16.3,42.1,22.1,1880.3,1684.0,1189.6,104.1,19.5,0.0
2013,ЭлПромМаш,6316137605,51,87,6,63,5.5,6.2,5.5,6.2,530.7,1148.6,536.2,1154.7,48.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,487.5,1143.0,536.2,1154.7,2305.0,2101.3,38.5,16.8,5.1,7.9,47.3,10.4,2093.6,2071.6,1782.9,2.4,5.1,0.0
2013,АЛДИС,6321219356,50,10,2,63,13.0,12.5,13.0,12.5,396.5,252.4,409.5,265.0,138.0,94.1,0.0,0.0,0.0,0.0,26.8,47.8,271.5,170.9,409.5,265.0,1292.6,1075.8,-67.2,12.1,1.6,1.8,47.9,50.8,1347.8,1291.9,1269.8,16.7,1.6,3.1
2013,Любимый вкус,6315621228,52,27,0,63,13.0,18.5,13.1,18.5,355.6,235.2,368.7,253.7,-10.4,-10.5,80.0,0.0,80.0,0.0,174.4,148.6,299.1,264.2,368.7,253.7,1065.5,130.4,-3.4,-11.7,27.5,0.6,0.1,-10.8,1123.9,1122.5,1131.3,28.4,7.2,0.0
2013,СНС Самара,6312086050,51,35,0,63,10.0,9.3,10.0,9.3,278.7,180.8,288.7,190.1,0.8,0.8,0.0,0.0,0.0,0.0,23.6,0.0,287.8,189.4,288.7,190.1,2246.8,1955.9,-20.5,-27.9,0.0,0.0,0.2,0.2,2147.0,2146.7,2107.6,10.3,0.0,0.0
2013,СНС-Тольятти,6322044606,51,35,0,63,2.8,1.4,2.8,1.4,131.0,93.4,133.8,94.8,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,133.2,94.4,133.8,94.8,1018.3,784.4,-6.2,-11.3,0.0,0.0,0.1,0.1,921.8,909.0,893.7,3.7,0.0,0.0
2013,Торговая компания Далимо,6319712412,51,33,1,63,0.4,0.1,0.4,0.1,475.5,328.7,475.9,328.8,33.0,28.9,0.0,0.0,0.0,0.0,247.9,177.4,442.9,299.9,475.9,328.8,2905.6,3106.0,32.0,34.3,11.1,14.8,5.1,6.6,3219.6,3100.9,2992.9,1.3,10.1,0.0
2013,ПРОИЗВОДСТВО СПЕЦИАЛЬНЫХ АВТОМОБИЛЕЙ ВИС-АВТО,6323112619,34,10,4,63,117.9,7.1,118.1,7.3,123.4,105.0,241.4,112.3,75.4,30.3,35.0,0.0,35.2,0.1,0.3,0.0,130.8,81.9,241.4,112.3,1282.7,995.8,58.3,19.9,0.5,0.0,57.3,23.3,1176.7,1170.5,918.0,104.1,0.2,112.8
2013,Фарминторг-Опт,6950087970,51,46,0,69,9.1,7.2,9.1,7.2,192.8,216.9,201.9,224.1,1.7,1.5,0.0,0.0,0.0,0.0,26.0,35.0,200.2,222.6,201.9,224.1,1420.1,1399.7,9.4,8.7,4.1,2.7,0.7,0.8,1580.3,1573.6,1447.6,70.3,4.1,4.0
2013,Автокомпоненты - Группа ГАЗ,5256083213,50,30,1,52,2.9,3.4,23.7,7.8,2572.0,2901.3,2595.7,2909.2,84.4,-71.8,0.0,0.0,0.3,0.2,4.2,0.0,2510.9,2980.7,2595.7,2909.2,21272.1,19114.0,196.1,-5.6,4.2,14.0,62.9,36.2,18905.8,18820.1,19827.5,192.5,0.0,0.5
2013,ЛУКОЙЛ-Астраханьэнерго,3016059510,40,11,1,30,17259.3,14417.0,17847.9,15500.1,1218.6,1852.7,19066.6,17352.8,5403.6,5555.2,9489.0,9958.4,10409.9,10560.1,2609.3,326.2,3253.0,1237.6,19066.6,17352.8,7422.7,5753.0,329.4,335.5,450.2,144.7,-158.5,160.1,7944.4,7128.9,5200.6,325.9,449.0,3235.7
2013,Красноярск-Стройинжиниринг,2464211407,74,50,0,24,5.0,4.9,169.0,174.7,464.4,412.8,633.4,587.5,479.3,407.4,0.0,0.0,0.1,0.4,0.0,0.0,154.0,179.6,633.4,587.5,1327.8,1806.7,102.9,268.3,0.0,0.0,112.5,269.3,1354.5,1325.1,244.1,791.6,0.0,0.0
2013,"Агропромышленный комплекс"" Сибирская губерния""",2404012830,1,24,0,24,81.3,92.8,81.3,92.8,784.2,1511.1,865.5,1603.9,385.4,849.2,0.2,11.7,0.2,11.7,51.1,39.5,479.9,743.0,865.5,1603.9,1914.0,2804.8,-331.2,210.5,0.0,0.0,-463.8,191.8,830.9,750.1,594.7,249.1,0.0,0.0
2013,СНС КРАСНОЯРСК,2464213130,51,35,0,24,7.8,6.2,7.8,6.2,143.5,117.7,151.3,123.9,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,150.6,123.2,151.3,123.9,1493.8,1276.4,-18.5,-32.8,0.0,0.0,0.3,0.2,2135.6,1718.0,1554.0,9.4,0.0,0.0
2013,ПОЛЮС СТРОЙ,2463210633,45,2,0,24,4741.9,4185.4,5159.7,4319.7,22055.4,13503.9,27215.1,17823.6,5235.7,4619.1,0.0,0.0,255.5,140.9,3572.2,0.0,21723.8,13063.6,27215.1,17823.6,12997.0,4845.6,-517.8,91.0,198.4,0.0,-1028.7,41.6,11151.3,9962.1,11553.2,1302.9,126.3,1306.2
